identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,battleBuildingRewardDistributionIdentifier,h
String,Integer,Integer,String,String,String,Integer,String,Float,String,String,String,String,String,String,String,Float,Integer,String,String,String,String,String,Integer,Integer,String,String,String,String
LibraryUpgrades_1,1,1,bld_library01.lvl,,piercing:0,0,level01,1250,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_2,2,1,bld_library01.lvl,,piercing:0,0,level04,1633,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_3,3,1,bld_library01.lvl,,piercing:0,0,level07,2160,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_4,4,1,bld_library01.lvl,,piercing:0,0,level10,2744,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_5,5,1,bld_library01.lvl,,piercing:0,0,level13,3563,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_6,6,1,bld_library01.lvl,,piercing:0,0,level16,4584,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_7,7,1,bld_library01.lvl,,piercing:0,0,level19,5828,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_8,8,1,bld_library01.lvl,,piercing:0,0,level22,7206,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_9,9,1,bld_library01.lvl,,piercing:0,0,level25,8541,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_10,10,1,bld_library01.lvl,,piercing:0,0,level28,10042,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_11,11,1,bld_library01.lvl,,piercing:0,0,level31,11795,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_12,12,1,bld_library01.lvl,,piercing:0,0,level34,13854,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_13,13,1,bld_library01.lvl,,piercing:0,0,level37,16273,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_14,14,1,bld_library01.lvl,,piercing:0,0,level40,19115,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_15,15,1,bld_library01.lvl,,piercing:0,0,level43,22453,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_16,16,1,bld_library01.lvl,,piercing:0,0,level46,26373,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_17,17,1,bld_library01.lvl,,piercing:0,0,level49,30978,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
LibraryUpgrades_18,18,1,bld_library01.lvl,,piercing:0,0,level52,36387,,,,0~20~60,,,,,,,bld_library_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
